country_code,country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
COL,Colombia,Bosconia,75,2,9,4,75,9.9761,-73.8903
ITA,Italy,Boscoreale,71,2,52,11,71,40.7667,14.4833
USA,United States of America,Brainerd,34,1,28,1,34,46.3553,-94.1983
BEL,Belgium,Brecht,48,1,30,6,48,51.35,4.6333
BRA,Brazil,Brejo Santo,30,0,9,2,30,-7.4928,-38.985
NLD,Netherlands,Brielle,55,1,37,4,55,51.9,4.1667
ZAF,South Africa,Brits,212,14,21,17,212,-25.6344,27.7811
NLD,Netherlands,Beek,61,1,28,6,61,50.9333,5.8
BEL,Belgium,Beernem,50,1,37,3,50,51.1428,3.3408
USA,United States of America,Bellview,52,2,37,8,52,30.462,-87.312
DEU,Germany,Belm,66,2,24,9,66,52.3,8.1333
ITA,Italy,Belpasso,55,1,45,0,55,37.5833,14.9833
DEU,Germany,Bendorf,62,1,34,3,62,50.4297,7.5703
ESP,Spain,Bermeo,51,1,18,4,51,43.42,-2.7264
GIN,Guinea,Beyla,46,1,17,0,46,8.6833,-8.6333
IND,India,Bhattiprolu,58,1,43,0,58,16.1,80.78
GBR,United Kingdom of Great Britain and Northern Ireland,Bideford,60,1,21,5,60,51.016,-4.209
TUR,Turkey,Birecik,53,1,48,0,53,37.025,37.9769
BRA,Brazil,Artur Nogueira,68,2,3,5,68,-22.5731,-47.1725
BGR,Bulgaria,Asenovgrad,76,1,43,0,76,42.0167,24.8667
USA,United States of America,Ashland,76,2,36,7,76,37.6942,-122.1159
USA,United States of America,Ashland,76,2,36,7,76,38.4592,-82.6448
USA,United States of America,Ashland,76,2,36,7,76,42.1905,-122.6992
USA,United States of America,Ashland,76,2,36,7,76,40.8668,-82.3156
USA,United States of America,Ashland,76,2,36,7,76,42.2573,-71.4687
USA,United States of America,Ashland,76,2,36,7,76,39.8782,-75.0085
DEU,Germany,Augsburg,64,1,35,3,64,48.3689,10.8978
ITA,Italy,Aulla,50,1,36,3,50,44.2167,9.9667
USA,United States of America,Azalea Park,58,1,10,15,58,28.5473,-81.2956
PHL,Philippines,Bacolod,38,1,19,0,38,10.6765,122.9509
PHL,Philippines,Bacolod,38,1,19,0,38,8.1892,124.0238
AUT,Austria,Bad Ischl,68,1,34,1,68,47.7115,13.6239
TZA,United Republic of Tanzania,Bagamoyo,41,1,17,0,41,-6.4444,38.9028
GBR,United Kingdom of Great Britain and Northern Ireland,Sidmouth,59,1,27,5,59,50.68,-3.239
UKR,Ukraine,Snizhne,34,1,34,1,17,48.0167,38.7667
NLD,Netherlands,Soest,30,1,26,5,30,51.5711,8.1092
NLD,Netherlands,Soest,30,1,26,5,30,52.1833,5.3
BRA,Brazil,Soledade,17,0,11,2,17,-28.8178,-52.51
BRA,Brazil,Soledade,17,0,11,2,17,-7.0569,-36.3628
ITA,Italy,Sondrio,55,1,21,2,55,46.1697,9.87
FRA,France,Sorgues,50,1,23,5,50,44.0083,4.8725
USA,United States of America,South Lake Tahoe,54,1,18,6,54,38.9393,-119.9828
USA,United States of America,South Venice,45,1,14,12,45,27.0444,-82.4155
USA,United States of America,South Whittier,129,4,3,35,129,33.9336,-118.0312
ITA,Italy,Spilimbergo,63,1,37,2,63,46.1281,12.885
GBR,United Kingdom of Great Britain and Northern Ireland,Stretford,33,1,33,3,19,53.4466,-2.3086
USA,United States of America,Struthers,83,2,31,13,83,41.051,-80.592
THA,Thailand,Sung Noen,35,0,24,0,35,14.8965,101.8167
USA,United States of America,Sycamore,56,1,23,9,56,41.9957,-88.6821
CHN,China,Tailai,65,2,65,0,49,46.3909,123.4161
JPN,Japan,Takanabe,29,0,29,1,24,32.128,131.5033
JPN,Japan,Takasaki,67,1,63,1,67,36.3219,139.0033
BOL,Bolivia (Plurinational State of),Tarija,15,0,1,1,15,-21.5333,-64.7333
JPN,Japan,Tateyama,44,1,44,1,43,34.9966,139.87
JPN,Japan,Tateyama,44,1,44,1,43,36.6636,137.3137
GEO,Georgia,Khoni,31,1,31,0,23,42.3244,42.4222
DEU,Germany,Kirkel,51,1,29,3,51,49.2833,7.2333
HUN,Hungary,Kiskunmajsa,71,1,40,1,71,46.4923,19.7368
DEU,Germany,Kitzingen,51,1,34,2,51,49.7333,10.1667
ZAF,South Africa,Klerksdorp,172,9,18,12,172,-26.8667,26.6667
THA,Thailand,Ko Samui,45,1,24,0,45,9.5,100.0
BEL,Belgium,Koksijde,41,1,33,2,41,51.1,2.65
SRB,Serbia,Kula,69,1,40,1,69,45.6,19.5333
JPN,Japan,Kuroishi,34,1,34,1,19,40.6426,140.6113
FIN,Finland,Kuusamo,24,1,24,0,3,65.9667,29.1833
FRA,France,La Courneuve,61,1,19,6,61,48.9322,2.3967
USA,United States of America,La Crosse,47,1,38,2,47,43.8241,-91.2268
ARG,Argentina,La Plata,43,1,12,8,43,-34.9211,-57.9544
ARG,Argentina,La Plata,43,1,12,8,43,2.39,-75.9075
ARG,Argentina,La Plata,43,1,12,8,43,38.5352,-76.97
USA,United States of America,La Vergne,71,1,27,5,71,36.02,-86.5586
NGA,Nigeria,Lafia,117,4,20,1,117,8.5,8.5167
USA,United States of America,Lancaster,41,1,41,3,32,40.042,-76.3012
USA,United States of America,Lancaster,41,1,41,3,32,34.6935,-118.1753
USA,United States of America,Lancaster,41,1,41,3,32,54.0489,-2.8014
USA,United States of America,Lancaster,41,1,41,3,32,42.9099,-78.6378
USA,United States of America,Lancaster,41,1,41,3,32,32.5922,-96.7739
USA,United States of America,Lancaster,41,1,41,3,32,39.7248,-82.6049
USA,United States of America,Laurinburg,42,1,42,2,27,34.7602,-79.4773
DEU,Germany,Lauterbach,50,1,24,3,50,50.6378,9.3944
FRA,France,Le Portel,50,1,35,1,50,50.7067,1.5733
PRT,Portugal,Leiria,33,0,33,1,23,39.75,-8.8
ITA,Italy,Lendinara,98,1,36,5,98,45.085,11.6006
RUS,Russian Federation,Lensk,74,2,51,0,74,60.7333,114.9167
LTU,Lithuania,Lentvaris,34,0,34,0,33,54.65,25.0667
RUS,Russian Federation,Lesosibirsk,29,1,29,0,16,58.2358,92.4828
CHN,China,Liaoyang,127,3,127,3,114,41.2643,123.1772
POL,Poland,Limanowa,99,1,32,2,99,49.7006,20.4267
GUY,Guyana,Linden,34,1,16,0,34,6.0,-58.3
GUY,Guyana,Linden,34,1,16,0,34,40.6251,-74.2383
CHN,China,Linfen,156,2,156,2,84,36.0812,111.5087
BRA,Brazil,Linhares,37,1,19,1,37,-19.3894,-40.0678
RUS,Russian Federation,Lipetsk,34,1,34,1,25,52.6167,39.6
AUS,Australia,Lismore,31,0,31,2,16,-28.8167,153.2833
USA,United States of America,Live Oak,30,1,18,2,30,36.986,-121.9804
USA,United States of America,Live Oak,30,1,18,2,30,29.5545,-98.3404
USA,United States of America,Loma Linda,77,2,6,22,77,34.045,-117.2498
GBR,United Kingdom of Great Britain and Northern Ireland,Londonderry,30,0,30,0,11,42.8796,-71.3873
ITA,Italy,Loreto,57,2,36,10,57,22.2667,-101.9833
ITA,Italy,Loreto,57,2,36,10,57,26.0128,-111.3433
ITA,Italy,Loreto,57,2,36,10,57,8.1856,125.8538
ITA,Italy,Loreto,57,2,36,10,57,43.4389,13.6086
ITA,Italy,Loreto,57,2,36,10,57,-7.0839,-45.1408
ITA,Italy,Loreto,57,2,36,10,57,10.3586,125.5816
USA,United States of America,Lorton,47,1,28,9,47,38.6983,-77.2164
USA,United States of America,Los Altos,65,1,12,18,65,37.3684,-122.0965
ZAF,South Africa,Louis Trichardt,33,1,23,1,33,-23.05,29.9
USA,United States of America,Lyndon,53,1,38,9,53,38.2645,-85.5891
RUS,Russian Federation,Lytkarino,56,1,22,13,56,55.5833,37.9
IND,India,Madikeri,51,0,21,0,51,12.4209,75.7397
IND,India,Madurai,63,1,34,0,63,9.9252,78.1198
IND,India,Maheshwar,152,1,34,0,152,22.1769,75.5856
IDN,Indonesia,Majalengka,50,1,31,1,50,-6.8353,108.2278
DEU,Germany,Malente,33,0,33,0,32,54.1667,10.55
PHL,Philippines,Malolos,63,1,24,1,63,14.8433,120.8114
NOR,Norway,Mandal,32,1,32,1,16,58.0267,7.4533
ITA,Italy,Manduria,49,1,49,3,22,40.4,17.6333
RUS,Russian Federation,Dankov,60,0,28,0,60,53.25,39.1333
RUS,Russian Federation,Dedovsk,53,1,28,6,53,55.85,37.1167
USA,United States of America,Defiance,52,1,22,7,52,41.2813,-84.3657
IND,India,Delhi,500,1,44,2,446,28.61,77.23
IND,India,Delhi,500,1,44,2,446,37.4306,-120.7759
BEL,Belgium,Destelbergen,39,1,24,4,39,51.05,3.8
USA,United States of America,Diamond Bar,138,4,3,30,138,33.9992,-117.8161
BEL,Belgium,Diksmuide,40,1,26,2,40,51.0333,2.8667
RUS,Russian Federation,Dimitrovgrad,31,0,30,0,31,54.1833,49.5833
RUS,Russian Federation,Dimitrovgrad,31,0,30,0,31,43.0167,22.7833
RUS,Russian Federation,Dimitrovgrad,31,0,30,0,31,42.05,25.6
IND,India,Doda,73,1,73,0,68,30.3844,74.6394
ESP,Spain,Don Benito,34,1,28,2,34,38.9545,-5.8617
NLD,Netherlands,Dongen,40,1,29,4,40,51.6333,4.9333
CHN,China,Dongfeng,73,3,39,2,73,22.2479,112.3794
USA,United States of America,Douglas,77,2,14,7,77,54.145,-4.482
USA,United States of America,Douglas,77,2,14,7,77,51.8764,-8.4358
USA,United States of America,Douglas,77,2,14,7,77,31.3602,-109.5394
USA,United States of America,Douglas,77,2,14,7,77,31.5065,-82.8544
USA,United States of America,Douglas,77,2,14,7,77,42.0524,-71.7515
USA,United States of America,Dundalk,57,1,43,5,57,39.2704,-76.4942
USA,United States of America,Durango,500,133,0,53,500,24.025,-104.6675
USA,United States of America,Durango,500,133,0,53,500,43.1689,-2.63
USA,United States of America,Durango,500,133,0,53,500,37.2659,-107.8781
GBR,United Kingdom of Great Britain and Northern Ireland,Durham,56,0,31,1,56,35.9792,-78.9022
GBR,United Kingdom of Great Britain and Northern Ireland,Durham,56,0,31,1,56,54.7761,-1.5733
GBR,United Kingdom of Great Britain and Northern Ireland,Durham,56,0,31,1,56,43.1174,-70.9194
TJK,Tajikistan,Dushanbe,81,1,40,0,81,38.5367,68.78
DEU,Germany,Edemissen,37,1,37,1,22,52.3667,10.2667
USA,United States of America,Edmond,54,1,25,4,54,35.6689,-97.416
USA,United States of America,Edmonds,39,1,26,6,39,47.8115,-122.3533
USA,United States of America,Elizabethton,57,1,25,6,57,36.3367,-82.237
DEU,Germany,Elsdorf,33,1,32,3,33,50.9333,6.5667
DEU,Germany,Freudenstadt,32,0,32,1,28,48.4633,8.4111
JPN,Japan,Fuji,43,1,43,1,32,35.1613,138.6763
JPN,Japan,Fujiidera,41,1,40,3,41,34.5667,135.6
CHN,China,Fushun,82,3,35,8,82,41.8708,123.8917
USA,United States of America,Gaithersburg,51,1,44,5,51,39.1346,-77.2131
COL,Colombia,Galapa,149,2,10,6,149,10.9167,-74.8333
ITA,Italy,Galatina,61,1,61,1,42,40.1667,18.1667
ITA,Italy,Galliate,35,1,35,2,20,45.4833,8.7
AUS,Australia,Geelong,33,0,25,1,33,-38.15,144.35
DEU,Germany,Gerlingen,31,0,31,1,26,48.8,9.0653
USA,United States of America,Gilbert,55,1,9,18,55,33.31,-111.7463
PRT,Portugal,Entroncamento,35,0,27,1,35,39.4653,-8.4681
TUR,Turkey,Esenyurt,37,1,37,1,35,41.047,28.658
CUB,Cuba,Esmeralda,95,1,26,1,95,21.8561,-78.1114
BRA,Brazil,Espera Feliz,30,1,10,1,30,-20.65,-41.9069
USA,United States of America,Fairfield,42,1,28,8,42,38.2583,-122.0335
USA,United States of America,Fairfield,42,1,28,8,42,41.1775,-73.2733
USA,United States of America,Fairfield,42,1,28,8,42,39.3301,-84.5409
USA,United States of America,Fairfield,42,1,28,8,42,33.4747,-86.9194
USA,United States of America,Fairfield,42,1,28,8,42,41.0064,-91.9667
BEL,Belgium,Farciennes,34,1,29,2,34,50.4313,4.5476
USA,United States of America,Fargo,41,1,41,2,39,46.8651,-96.8292
FRA,France,Florange,28,1,27,2,28,49.3214,6.1183
COL,Colombia,Florida,51,1,6,3,51,-34.5167,-58.5
COL,Colombia,Florida,51,1,6,3,51,-34.1,-56.2167
COL,Colombia,Florida,51,1,6,3,51,21.5294,-78.2228
COL,Colombia,Florida,51,1,6,3,51,18.3643,-66.5611
COL,Colombia,Florida,51,1,6,3,51,3.3275,-76.2386
COL,Colombia,Florida,51,1,6,3,51,-36.8167,-72.6667
USA,United States of America,Forest Hill,54,1,20,5,54,32.6619,-97.2662
ITA,Italy,Matelica,43,1,43,3,42,43.2566,13.0096
BRA,Brazil,Mateus Leme,124,4,0,11,124,-19.9858,-44.4278
PRT,Portugal,Matosinhos,29,0,29,2,20,41.1833,-8.7
CMR,Cameroon,Mbouda,110,4,12,2,110,5.6333,10.25
DEU,Germany,Meckenheim,49,1,22,4,49,50.6333,7.0167
MEX,Mexico,Melchor Ocampo,183,4,12,16,183,19.7083,-99.1444
NLD,Netherlands,Meppel,34,0,34,1,34,52.7,6.1833
USA,United States of America,Merced,43,1,30,5,43,37.3057,-120.4779
RUS,Russian Federation,Miass,36,1,36,0,35,55.0,60.1
USA,United States of America,Middlesex,64,2,15,20,64,40.5744,-74.5011
RUS,Russian Federation,Mikhaylovskoye,36,1,36,0,34,43.0997,44.6317
USA,United States of America,Millbury,28,1,28,4,25,42.1925,-71.7741
USA,United States of America,Mineral Wells,59,1,27,1,59,32.8169,-98.0776
CHN,China,Mingguang,169,3,169,3,104,32.7816,117.9899
USA,United States of America,Missouri City,35,1,18,4,35,29.563,-95.5365
GTM,Guatemala,Momostenango,81,2,10,8,81,15.0444,-91.4083
BRA,Brazil,Montanha,21,0,17,0,21,-18.1269,-40.3628
ITA,Italy,Montecchio Maggiore,116,2,31,5,116,45.5037,11.412
GBR,United Kingdom of Great Britain and Northern Ireland,Morecambe,30,1,30,2,27,54.073,-2.87
MEX,Mexico,Morelia,52,1,6,4,52,19.7683,-101.1894
TZA,United Republic of Tanzania,Mpwapwa,23,0,15,0,23,-6.35,36.4833
DEU,Germany,Murrhardt,57,1,28,3,57,48.98,9.5814
USA,United States of America,Muscatine,40,1,30,5,40,41.4195,-91.068
GBR,United Kingdom of Great Britain and Northern Ireland,Musselburgh,30,1,18,7,30,55.942,-3.054
IND,India,Muzaffarpur,159,4,128,1,159,26.1225,85.3906
ZMB,Zambia,Mwinilunga,57,1,22,0,57,-11.7172,24.4289
MWI,Malawi,Mzimba,37,0,17,0,37,-11.9,33.6
IND,India,Nakodar,142,2,142,1,139,31.13,75.47
TZA,United Republic of Tanzania,Namanga,42,1,13,0,42,-2.55,36.7833
CMR,Cameroon,Nanga Eboko,67,2,22,0,67,4.6708,12.3731
IND,India,Naraura,177,3,163,2,177,28.1967,78.3814
FIN,Finland,Nastola,29,0,29,1,5,60.95,25.9333
IND,India,Naugachhia,76,2,72,1,76,25.4,87.1
DEU,Germany,Neubiberg,65,1,38,1,65,48.0833,11.6833
USA,United States of America,New Kensington,43,1,43,4,38,40.5712,-79.7523
RUS,Russian Federation,Neya,52,1,29,1,52,34.7667,135.6333
RUS,Russian Federation,Neya,52,1,29,1,52,58.3,43.8667
ITA,Italy,Niscemi,57,2,30,5,57,37.15,14.3833
RUS,Russian Federation,Nizhnekamsk,36,1,36,1,34,55.6333,51.8167
ITA,Italy,Noale,88,2,30,6,88,45.5501,12.0709
IND,India,Nohar,500,1,41,0,500,29.18,74.77
RUS,Russian Federation,Svobodnyy,32,1,29,0,32,51.4,128.1
USA,United States of America,Sylvania,63,2,22,11,63,41.71,-83.7092
CHN,China,Taizhou,206,5,206,4,150,32.4831,119.9
CHN,China,Taizhou,206,5,206,4,150,28.6583,121.4221
JPN,Japan,Takatsuki,46,1,46,0,23,34.85,135.6167
PHL,Philippines,Talisay,52,1,23,0,52,10.25,123.8333
PHL,Philippines,Talisay,52,1,23,0,52,10.7333,122.9667
PHL,Philippines,Talisay,52,1,23,0,52,14.1,121.0167
PHL,Philippines,Talisay,52,1,23,0,52,14.1356,122.9244
DEU,Germany,Tamm,35,1,24,3,35,48.9167,9.1167
CHN,China,Tangshan,200,5,200,4,155,39.6292,118.1742
RUS,Russian Federation,Tayshet,35,1,35,0,32,55.95,98.0167
RUS,Russian Federation,Temryuk,43,1,43,2,39,45.2667,37.3667
IND,India,Teonthar,217,1,44,0,217,24.9821,81.6419
MEX,Mexico,Tepic,54,1,10,3,54,21.5083,-104.8931
USA,United States of America,Tigard,47,1,21,10,47,45.4237,-122.7845
USA,United States of America,Timberlake,59,2,13,9,59,37.3167,-79.2481
HND,Honduras,Tocoa,53,1,5,1,53,15.6833,-86.0
PAN,Panama,Tocumen,87,2,15,10,87,9.08,-79.38
CHN,China,Tongchuan,163,5,163,4,136,34.9057,108.9422
JPN,Japan,Toyohashi,48,1,48,1,24,34.7692,137.3915
ARG,Argentina,Tres Arroyos,26,0,26,0,12,-38.3667,-60.2667
CUB,Cuba,Trinidad,49,1,23,1,49,-14.8292,-64.9014
CUB,Cuba,Trinidad,49,1,23,1,49,21.8042,-79.9831
CUB,Cuba,Trinidad,49,1,23,1,49,10.0795,124.3432
CUB,Cuba,Trinidad,49,1,23,1,49,-33.5333,-56.8833
CUB,Cuba,Trinidad,49,1,23,1,49,5.4089,-71.6622
USA,United States of America,Troy,50,1,38,4,50,42.5817,-83.1457
USA,United States of America,Troy,50,1,38,4,50,42.7354,-73.6751
USA,United States of America,Troy,50,1,38,4,50,40.0437,-84.2186
USA,United States of America,Troy,50,1,38,4,50,31.8021,-85.9664
USA,United States of America,Troy,50,1,38,4,50,38.9708,-90.9714
USA,United States of America,Troy,50,1,38,4,50,38.7268,-89.8977
PAK,Pakistan,Turbat,147,1,50,0,147,26.0031,63.0544
MEX,Mexico,Tuxpan,32,1,6,4,32,19.5661,-100.4625
MEX,Mexico,Tuxpan,32,1,6,4,32,21.8667,-105.45
IND,India,Ujjain,156,1,36,0,156,23.17,75.79
RUS,Russian Federation,Ulyanovsk,34,1,34,1,6,54.3167,48.3667
MDA,Republic of Moldova,Ungheni,64,1,46,0,64,47.2167,27.8167
BRA,Brazil,Uruana,44,1,3,4,44,-15.4978,-49.6878
CHE,Switzerland,Uster,36,1,24,2,36,47.35,8.7167
USA,United States of America,Utica,43,1,43,2,36,43.0962,-75.2261
THA,Thailand,Uttaradit,66,0,22,0,66,17.6231,100.0958
FRA,France,Vallauris,58,2,19,8,58,43.5805,7.0538
BRA,Brazil,Varginha,59,2,1,5,59,-21.5517,-45.43
DEU,Germany,Velbert,28,0,26,2,28,51.3333,7.05
IND,India,Venkatagiri,68,0,26,0,68,13.9667,79.5833
RUS,Russian Federation,Verkhnyaya Tura,34,1,34,0,27,58.3594,59.8175
ZAF,South Africa,Welkom,153,7,6,9,153,-27.9831,26.7208
DEU,Germany,Wiesbaden,30,0,30,1,26,50.0825,8.24
USA,United States of America,Winchendon,45,1,43,2,45,42.6667,-72.0487
GBR,United Kingdom of Great Britain and Northern Ireland,Winchester,34,1,15,10,34,36.1365,-115.137
GBR,United Kingdom of Great Britain and Northern Ireland,Winchester,34,1,15,10,34,39.1735,-78.1746
GBR,United Kingdom of Great Britain and Northern Ireland,Winchester,34,1,15,10,34,51.0632,-1.308
GBR,United Kingdom of Great Britain and Northern Ireland,Winchester,34,1,15,10,34,42.4518,-71.1463
GBR,United Kingdom of Great Britain and Northern Ireland,Winchester,34,1,15,10,34,38.0018,-84.1908
GBR,United Kingdom of Great Britain and Northern Ireland,Winchester,34,1,15,10,34,41.9218,-73.1028
GBR,United Kingdom of Great Britain and Northern Ireland,Winchester,34,1,15,10,34,35.1898,-86.1075
USA,United States of America,Winona,42,1,42,2,36,44.0505,-91.6684
USA,United States of America,Winter Springs,52,1,22,13,52,28.6889,-81.2703
DEU,Germany,Wolfsburg,46,0,30,2,46,52.4231,10.7872
CHN,China,Wuhan,175,6,175,6,157,30.5872,114.2881
CHN,China,Xiamen,122,3,93,6,122,24.4797,118.0819
CHN,China,Xiantao,133,4,133,4,122,30.3833,113.4
CHN,China,Xiongzhou,95,3,46,2,95,38.9786,116.073
THA,Thailand,Yasothon,58,0,31,0,58,15.7972,104.1431
IND,India,Yellandu,124,1,36,0,124,17.6,80.33
GHA,Ghana,Yendi,50,2,9,1,50,9.4324,-0.0043
ARM,Armenia,Yerevan,52,1,37,0,52,40.1814,44.5144
CHN,China,Yishui,155,2,155,1,83,35.7904,118.62
CHL,Chile,Yumbel,45,1,16,4,45,-37.1333,-72.5333
CHN,China,Zhenjiang,181,5,181,11,151,32.2109,119.4551
AUT,Austria,Zwettl,58,1,31,2,58,48.6033,15.1689
GTM,Guatemala,Villa Nueva,79,3,8,10,79,14.5314,-90.5964
GTM,Guatemala,Villa Nueva,79,3,8,10,79,-32.4331,-63.2475
GTM,Guatemala,Villa Nueva,79,3,8,10,79,-32.9,-68.7667
RUS,Russian Federation,Vorsma,47,1,34,1,47,55.9833,43.25
RUS,Russian Federation,Vyatskiye Polyany,29,1,29,1,12,56.2239,51.0633
USA,United States of America,Wareham,36,1,36,3,36,41.7662,-70.6999
GEO,Georgia,Marneuli,54,1,35,0,54,41.4969,44.8108
USA,United States of America,Massillon,51,1,31,8,51,40.7838,-81.5254
USA,United States of America,Maumee,50,1,23,9,50,41.5696,-83.6636
BEL,Belgium,Menen,38,1,26,3,38,50.7956,3.1217
USA,United States of America,Menlo Park,55,1,22,10,55,37.4685,-122.1673
USA,United States of America,Meriden,56,1,46,4,56,41.5369,-72.7946
DEU,Germany,Miesbach,32,0,28,1,32,47.7833,11.8333
POL,Poland,Milicz,34,1,31,1,34,51.5333,17.2833
BRA,Brazil,Moreno,51,1,14,4,51,-8.1186,-35.0922
BRA,Brazil,Morro Agudo,63,1,5,3,63,-20.7314,-48.0578
DEU,Germany,Morsbach,35,1,35,1,27,50.8667,7.7167
USA,United States of America,Mount Clemens,46,1,31,7,46,42.5977,-82.8821
CHN,China,Mudanjiang,38,1,38,0,25,44.5861,129.5997
ZWE,Zimbabwe,Mutoko,52,2,13,0,52,-17.4,32.2167
NLD,Netherlands,Naaldwijk,38,1,27,4,38,51.9931,4.205
THA,Thailand,Nam Som,44,0,22,0,44,17.7694,102.1435
GBR,United Kingdom of Great Britain and Northern Ireland,Frome,46,1,21,4,46,51.2279,-2.3215
ITA,Italy,Galatone,55,1,55,2,18,40.15,18.0667
USA,United States of America,Galesburg,41,1,30,5,41,40.9506,-90.3763
PHL,Philippines,General Emilio Aguinaldo,48,0,24,0,48,14.1833,120.8
USA,United States of America,Eugene,32,1,27,4,32,44.0564,-123.1174
USA,United States of America,Evergreen Park,58,2,30,13,58,41.7213,-87.7013
DEU,Germany,Falkensee,37,0,33,1,37,52.5583,13.0917
USA,United States of America,Farmington,44,1,38,3,44,36.7555,-108.1823
USA,United States of America,Farmington,44,1,38,3,44,41.7288,-72.8407
USA,United States of America,Farmington,44,1,38,3,44,40.9845,-111.9065
USA,United States of America,Farmington,44,1,38,3,44,44.6572,-93.1687
USA,United States of America,Farmington,44,1,38,3,44,37.7822,-90.4282
USA,United States of America,Farmington,44,1,38,3,44,42.9895,-77.3087
USA,United States of America,Farmington,44,1,38,3,44,42.4614,-83.3784
BRA,Brazil,Farroupilha,30,1,16,2,30,-29.225,-51.3478
IND,India,Fatwa,176,4,155,1,176,25.5096,85.305
ALB,Albania,Fier,52,1,40,2,52,40.725,19.5572
GBR,United Kingdom of Great Britain and Northern Ireland,Fleet,52,1,27,6,52,51.2834,-0.8456
USA,United States of America,Floral Park,66,2,17,20,66,40.7227,-73.7029
ITA,Italy,Formigine,63,1,30,5,63,44.6072,10.9333
DEU,Germany,Asperg,28,1,28,2,27,48.9,9.1333
JPN,Japan,Atami,42,1,42,1,36,35.096,139.0716
USA,United States of America,Atchison,60,2,27,8,60,39.5625,-95.1367
GBR,United Kingdom of Great Britain and Northern Ireland,Atherton,48,0,30,1,48,53.523,-2.495
GBR,United Kingdom of Great Britain and Northern Ireland,Atherton,48,0,30,1,48,-17.2658,145.478
USA,United States of America,Attleboro,68,1,44,5,68,41.9311,-71.295
BEL,Belgium,Aubange,30,1,28,3,30,49.5667,5.805
RUS,Russian Federation,Babayurt,53,1,41,0,53,43.6003,46.7789
DEU,Germany,Bad Freienwalde,36,1,36,1,25,52.7856,14.0325
DEU,Germany,Bad Salzungen,34,1,34,2,33,50.8117,10.2333
PHL,Philippines,Bagabag,46,1,24,0,46,16.6044,121.2521
IND,India,Baihar,152,0,38,0,152,22.1013,80.5497
RUS,Russian Federation,Balakovo,65,1,35,0,65,52.0333,47.7833
IND,India,Banga,324,2,150,1,324,6.3,124.7833
IND,India,Banga,324,2,150,1,324,31.1887,75.9949
IND,India,Banga,324,2,150,1,324,-8.7333,15.1667
CAF,Central African Republic,Bangassou,62,2,8,0,62,4.7374,22.8195
IND,India,Bar Bigha,290,2,99,1,283,25.2186,85.7332
RUS,Russian Federation,Barabinsk,39,1,39,0,35,55.35,78.35
ITA,Italy,Bareggio,34,1,34,2,20,45.4667,8.9833
BRA,Brazil,Barras,36,1,5,2,36,-4.2469,-42.2958
GUY,Guyana,Bartica,60,1,12,0,60,6.4,-58.6167
USA,United States of America,Bartow,51,1,10,15,51,27.8868,-81.8214
DEU,Germany,Bassum,35,1,35,2,25,52.8494,8.7267
GBR,United Kingdom of Great Britain and Northern Ireland,Bearsden,61,0,31,0,61,55.9192,-4.3332
GBR,United Kingdom of Great Britain and Northern Ireland,Bedworth,29,0,29,2,22,52.475,-1.477
SRB,Serbia,Bela Crkva,47,1,39,1,47,44.8975,21.4169
USA,United States of America,Bell,119,4,6,36,119,33.9801,-118.1798
COL,Colombia,Bello,106,3,2,8,106,6.3333,-75.5667
AUS,Australia,Bendigo,23,0,23,0,23,-36.75,144.2667
ZAF,South Africa,Benoni,123,15,20,12,123,-26.1883,28.3206
NLD,Netherlands,Bergen,39,1,28,4,39,60.3894,5.33
NLD,Netherlands,Bergen,39,1,28,4,39,52.6667,4.7167
NLD,Netherlands,Bergen,39,1,28,4,39,54.4167,13.4333
NLD,Netherlands,Bergen,39,1,28,4,39,52.8103,9.9611
NLD,Netherlands,Bergen,39,1,28,4,39,51.6,6.05
FRA,France,Bergerac,42,1,34,1,42,44.85,0.48
IND,India,Bettiah,265,4,166,1,265,26.8014,84.5028
IND,India,Bhuban,162,1,92,2,162,20.882,85.8333
FRA,France,Biarritz,40,0,40,0,23,43.48,-1.56
PAK,Pakistan,Chiniot,275,2,112,1,275,31.7194,72.9842
ZWE,Zimbabwe,Chiredzi,36,1,18,0,36,-21.0389,31.6778
ROU,Romania,Chitila,41,1,41,1,33,44.5083,25.9819
IND,India,Chodavaram,153,1,47,0,153,17.8333,82.95
IND,India,Chodavaram,153,1,47,0,153,17.438,81.7781
BEL,Belgium,Ciney,43,1,23,5,43,50.3,5.1
USA,United States of America,Circleville,41,1,35,6,41,39.6063,-82.9334
ESP,Spain,Ciudad Real,30,0,30,1,29,38.9833,-3.9167
IND,India,Birmitrapur,165,1,109,1,165,22.4,84.7667
DEU,Germany,Bogen,29,0,29,1,24,48.9167,12.6833
RUS,Russian Federation,Bogotol,50,1,43,0,50,56.2,89.5167
TCD,Chad,Bokoro,46,2,11,0,46,12.3667,17.05
BRA,Brazil,Bom Jesus,24,0,11,0,24,-4.42,-46.765
BRA,Brazil,Bom Jesus,24,0,11,0,24,-9.0739,-44.3589
BRA,Brazil,Bom Jesus,24,0,11,0,24,-18.215,-49.7419
BRA,Brazil,Bom Jesus,24,0,11,0,24,-28.6678,-50.4169
BRA,Brazil,Bom Jesus,24,0,11,0,24,-5.9839,-35.5808
